#
#  ecol316435-wgscyc 21.5 Reactions link table generated on Tue Oct 24, 2017
#
RXN0-2161	EC-6.1.1.11
RXN-11211	EC-3.5.2.2
3.2.1.8-RXN	EC-3.2.1.8
RXN-10954	EC-3.1.3.25
RXN-12252	EC-3.1.1.1
DALADALALIG-RXN	EC-6.3.2.4
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
ENZRXN-201-RXN	EC-1.1.1
RXN-8629	EC-1.8.1.4
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
RXN-6268	
RXN0-6481	EC-2.7.7.56
AICARTRANSFORM-RXN	EC-2.1.2.3
1.10.2.2-RXN	EC-1.10.2.2
RXN0-2145	EC-1.3.1.10
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	EC-3.1.2.16
L-RHAMNONO-14-LACTONASE-RXN	EC-3.1.1.65
RXN0-7080	
AICARSYN-RXN	EC-4.3.2.2
RXN-12624	EC-3.2.1.14
RXN-9025	EC-2.4.1.1
RXN-9237	EC-2.1.1.64
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.2
3.2.1.52-RXN	EC-3.2.1.52
GALACTOACETYLTRAN-RXN	EC-2.3.1.18
LINOLENOYL-RXN	EC-6.2.1.3
RXN1G-236	EC-2.3.1.41
RXN-13054	EC-6.3.2.38
UDPMANNACADEHYDROG-RXN	EC-1.1.1.336
GLCNACPTRANS-RXN	EC-2.7.8.33
RXN-11867	EC-2.1.1.200
THIOESTER-RXN	EC-3.1.2.2
RXN-2962	EC-1.1.1.284
RXN0-5227	EC-3.4.17.13
RXN-12994	EC-1.1.1.100
2.6.1.82-RXN	EC-2.6.1.82
RXN0-4342	EC-2.7.7.70
3-ISOPROPYLMALDEHYDROG-RXN	
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-11319	EC-4.1.99.19
RXN0-1133	EC-2.3.1.12
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.58
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
RXN-12749	EC-4.2.1
RXN-12720	EC-2.7.7.4
OXALATE-COA-TRANSFERASE-RXN	EC-2.8.3.2
RXN-12730	EC-2.1.1.14
RXN0-1483	EC-1.16.3.1
RXN-8036	EC-3.2.1.21
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
RXN-14812	
RXN-11480	EC-1.1.1.100
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
MALSYN-RXN	EC-2.3.3.9
RXN-14117	EC-2.7.1.40
RXN0-5182	EC-2.4.1.1
RXN-13697	EC-2.6.1.1
RXN-12540	
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN-9539	EC-2.3.1.41
ALDOSE1EPIM-RXN	EC-5.1.3.3
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
RXN-10016	
RXN-10851	
DCYSDESULF-RXN	EC-4.4.1.15
RXN-12112	EC-1.7.1.14
RXN-12861	
5.1.3.20-RXN	EC-5.1.3.20
RIBULP3EPIM-RXN	EC-5.1.3.1
ARYLESTERASE-RXN	EC-3.1.1.2
RXN-12862	
PYRUVFORMLY-RXN	EC-2.3.1.54
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90
RXN-13617	EC-2.3.1.16
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
RXN-10949	EC-3.1.3.25
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
TRANS-RXN0-234	
PYFLAVOXRE-RXN	EC-1.2.99
4.2.1.93-RXN	EC-4.2.1.93
PALMITOYL-COA-HYDROLASE-RXN	EC-3.1.2.2
RXN-14047	EC-4.2.1.3
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
UTPHEXPURIDYLYLTRANS-RXN	EC-2.7.7.10
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-12876	
3.4.21.88-RXN	EC-3.4.21.88
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	EC-1.2.1.17
URPHOS-RXN	EC-2.4.2.2	EC-2.4.2.3
RXN0-6524	EC-3.1.13.1
TARTRATE-DECARBOXYLASE-RXN	EC-4.1.1.73
RXN0-4621	EC-2.7.1.170
RXN3O-218	
RXN-13032	EC-2.3.1.200
RXN0-3601	EC-2.8.3
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
RXN-10658	EC-2.3.1.41
6.3.2.10-RXN	EC-6.3.2.10
CITRYLY-RXN	EC-4.1.3.34
RXN1G-262	EC-1.1.1.100
RXN1G-157	EC-1.1.1.100
RXN-13482	EC-2.1.3.3
DMK-RXN	EC-2.5.1.74
RXN-5841	EC-3.1.3.5
RXN0-5359	EC-2.7.7.65
3-ISOPROPYLMALISOM-RXN	
ADENPHOSPHOR-RXN	EC-2.4.2.1
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
RXN-7919	EC-3.1.2.6
NAPHTHOATE-SYN-RXN	EC-4.1.3.36
TARTRATE-DEHYDROGENASE-RXN	EC-1.1.1.93
RXN0-2042	EC-1.14.13.149
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
RXN-10989	
COBALAMIN5PSYN-RXN	EC-2.7.8.26
RXN1G-320	EC-2.3.1
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
RXN-10993	
RXN-10654	EC-2.3.1.41
RXN0-7012	
MANNONOXIDOREDUCT-RXN	EC-1.1.1.57
RXN0-6491	EC-1.3.5.2
RXN-10703	EC-1.1.1.35
RXN-10815	EC-1.13.11.27
RXN-12979	EC-2.7.1.176
RXN-12623	EC-3.2.1.14
RXN-12750	EC-1.1.1.35
RXN-7838	EC-4.2.1.17
RXN-10656	EC-4.2.1.59
RXN-13115	
RXN-12149	
CITC-RXN	EC-6.2.1.22
RXN-11737	EC-2.6.1.1
RXN-12625	EC-3.2.1.52
3.6.3.12-RXN	EC-3.6.3.12
3.6.3.17-RXN	EC-3.6.3.17
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
RXN0-1321	EC-2.4.2.29
RXN0-746	EC-1.17.4.2
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
RXN-15131	
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
DXPREDISOM-RXN	EC-1.1.1.267
RXN-12614	
FRUCTOKINASE-RXN	EC-2.7.1.4
XYLULOKIN-RXN	EC-2.7.1.17
N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.102
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.5
RXN66-3	EC-1.2.1.3
GLUCARDEHYDRA-RXN	EC-4.2.1.40
RXNI-3	EC-1.1.5.4
RXN0-4341	EC-2.7.1.167
UREA-CARBOXYLASE-RXN	EC-6.3.4.6
RXN0-5225	EC-3.5.1.28
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN3O-4113	EC-1.1.1.1
RXN-0	EC-2.3.1.57
1.8.4.12-RXN	EC-1.8.4.12
RXN-6282	EC-3.5.4.9
UROGENIIISYN-RXN	EC-4.2.1.75
ASPDECARBOX-RXN	EC-4.1.1.11
RXN-12734	EC-4.2.1.132
TRANS-RXN0-277	EC-1.6.1.2
CARBAMATE-KINASE-RXN	EC-2.7.2.2
RXN0-3521	EC-2.7.8.30
2KETO-3METHYLVALERATE-RXN	EC-1.2.1
ISOCHORSYN-RXN	EC-5.4.4.2
RXN-11302	EC-3.4.16.4
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-3482	
DIACYLGLYKIN-RXN	EC-2.7.1.107
DIAMACTRANS-RXN	EC-2.3.1.57
RXN-15045	EC-2.3.1.15
RXN-11213	EC-1.2.1.27
DAADEHYDROG-RXN	EC-1.4.99.1
GALPMUT-RXN	EC-5.4.99.9
RXN-7609	EC-3.1.3.5
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
RXN-12718	EC-3.7.1.17
1.1.1.274-RXN	EC-1.1.1.274
ACYL-COA-HYDROLASE-RXN	EC-3.1.2.20
RXN0-2601	EC-4.2.99.18
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
RXN-12195	EC-3.6.1.15
RXN-9531	EC-2.3.1.41
RXN0-1461	EC-1.3.3.3
ALLANTOINASE-RXN	EC-3.5.2.5
IMP-DEHYDROG-RXN	EC-1.1.1.205
RXN-12705	EC-1.1.1.35
RXN1G-1438	EC-3.1.3.12
RXN-9310	EC-4.2.99.20
5-METHYLTHIORIBOSE-KINASE-RXN	EC-2.7.1.100
RXN-15123	EC-3.5.99
RXN-14192	EC-2.7.1.40
HYDROG-RXN	EC-1.12.7.2
RXN0-5265	
RXN-9653	EC-2.3.1.86
3.4.11.1-RXN	EC-3.4.11.1
S-ADENMETSYN-RXN	EC-2.5.1.6
3.6.3.3-RXN	EC-3.6.3.3
RXN-12912	EC-2.6.1
RXN0-5120	EC-2.4.1
RIBOKIN-RXN	EC-2.7.1.15
GLUTKIN-RXN	EC-2.7.2.11
RXN0-1441	EC-3.6.1.53
ALARACECAT-RXN	EC-5.1.1.1
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
RXN0-745	EC-1.17.4.2
RXN-13264	EC-6.2.1.20
TDPFUCACTRANS-RXN	EC-2.3.1.210
RETINYL-PALMITATE-ESTERASE-RXN	EC-3.1.1.1
KDGALDOL-RXN	EC-4.1.2.20
2.5.1.64-RXN	EC-2.2.1.9
2.6.1.22-RXN	EC-2.6.1.22
RXN-14189	EC-1.11.1.6
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
NUCLEOSIDE-TRIPHOSPHATASE-RXN	EC-3.6.1.15
ALTRODEHYDRAT-RXN	EC-4.2.1.7
RXN-7561	EC-2.3.1.109
RXN-7710	EC-2.4.1.18
RXN1G-26	EC-2.3.1.41
RXN66-336	EC-2.3.2.2
RXN0-5226	EC-3.2.1.52
RXN-2802	
ARGSUCCINLYA-RXN	EC-4.3.2.1
RXN-9787	EC-2.8.1.7
RXN-11501	EC-3.2.1.22
NAG6PDEACET-RXN	EC-3.5.1.25
CHORISMATEMUT-RXN	EC-5.4.99.5
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN0-5001	EC-3.2.1.177
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
CARBOXYLESTERASE-RXN	EC-3.1.1.1
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
RXN-1826	EC-2.4.1.1
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
3.6.3.16-RXN	EC-3.6.3.16
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
RXN-11479	EC-2.3.1.41
ACYLCOADEHYDROG-RXN	EC-1.3.8
RXN-9552	EC-1.1.1.100
3.6.3.4-RXN	EC-3.6.3.4
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
R601-RXN	EC-1.3.5.4
LACTALDREDUCT-RXN	EC-1.1.1.77
RXN-12753	
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
RXN0-5256	EC-1.12.99.6
6PGLUCONOLACT-RXN	EC-3.1.1.31
RXN-5061	EC-1.5.7.1
RXN0-2141	
RXN-7968	EC-1.1.1.282
2-OXOGLUTARATE-SYNTHASE-RXN	EC-1.2.7.3
FUCPALDOL-RXN	EC-4.1.2.17
ISOCHORMAT-RXN	EC-3.3.2.1
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
TMAOREDUCT-RXN	EC-1.6.6.9
RXN-14815	EC-5.1.3
TRANS-RXN-156	
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-12570	EC-1.1.1.35
RXN-10659	EC-1.1.1.100
2.1.1.64-RXN	EC-2.1.1.64
RXN-8141	
RXN0-5295	EC-3.2.1.86
LTARTDEHYDRA-RXN	EC-4.2.1.32
PYRROLINECARBDEHYDROG-RXN	EC-1.5.1
RXN-9673	EC-6.2.1.3
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
RXN-14665	EC-1.14.13
MEPROPCOA-FAD-RXN	EC-1.3.8
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
4.2.2.9-RXN	EC-4.2.2.9
ISOCIT-CLEAV-RXN	EC-4.1.3.1
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RXN-15513	EC-5.4.2.11
RXN-10981	
RXN-13673	EC-2.5.1.18
RXN1G-132	EC-2.3.1.41
SPERMACTRAN-RXN	EC-2.3.1.57
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN0-5214	EC-3.1.1
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	EC-1.1.1.238
URA-PHOSPH-RXN	EC-2.4.2.3	EC-2.4.2.2
SUCCORNTRANSAM-RXN	EC-2.6.1.81
RXN-15005	EC-2.7.2.8
RXN0-1141	EC-2.7.7.63
RXN-13109	
RXN-9662	EC-1.3.1.9
RXN-12748	EC-1.3.99
1.2.1.25-RXN	EC-1.2.1.25
GALACTUROISOM-RXN	EC-5.3.1.12
GLUCURONATE-REDUCTASE-RXN	EC-1.1.1.19
RXN-14972	
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN-14120	EC-2.7.4.6
RHAMNISOM-RXN	EC-5.3.1.14
TRANS-RXN-167A	
2.7.1.148-RXN	EC-2.7.1.148
3.4.22.36-RXN	EC-3.4.22.36
RXN-12714	EC-1.3.99.4
RXN1F-10	EC-1.3.1.33
R581-RXN	EC-4.99.1.2
R310-RXN	EC-4.2.1.84
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.30
ACETOLACTSYN-RXN	EC-2.2.1.6
MALTODEXGLUCOSID-RXN	EC-3.2.1.20
CYTDEAM-RXN	EC-3.5.4.1
DEHYDDEOXPHOSGALACT-ALDOL-RXN	EC-4.1.2.21
RXN0-6948	EC-2.3.1.1
RXN-6622	EC-3.4.13.18
RXN1F-20	EC-6.6.1.1
MANNONDEHYDRAT-RXN	EC-4.2.1.8
3.4.24.55-RXN	EC-3.4.24.55
3.6.3.44-RXN	EC-3.6.3.44
RXN-13611	
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
ACNEULY-RXN	EC-4.1.3.3
RXN-14073	EC-3.1.4.46
DTDPDEHYRHAMREDUCT-RXN	EC-1.1.1.133
ADENINE-DEAMINASE-RXN	EC-3.5.4.2
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
RXN-14227	EC-3.1.3.5
MANNPISOM-RXN	EC-5.3.1.8
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-15044	EC-2.3.1.42
GLUCONOLACT-RXN	EC-3.1.1.17
RXN-8999	EC-2.5.1.31
1.1.1.83-RXN	EC-1.1.1.83
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN-9311	EC-3.1.2.28
RXN0-3261	EC-3.4.11
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN-9222	EC-2.5.1.39
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
RFFTRANS-RXN	EC-2.6.1.59
RXN0-949	EC-2.8.1.8
RXN0-5409	
3.1.4.17-RXN	EC-3.1.4.17
3.2.1.37-RXN	EC-3.2.1.37
RXN-13548	EC-3.5.99
OHMETPYRKIN-RXN	EC-2.7.1.49
2TRANSKETO-RXN	EC-2.2.1.1
CHOLINE-SULFATASE-RXN	EC-3.1.6.6
RNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.48
RXN-9190	EC-2.5.1.74
SULFOCYS-RXN	EC-2.5.1.47
RXN-12621	
RHAMNULOKIN-RXN	EC-2.7.1.5
GDPMANMANHYDRO-RXN	EC-3.2.1
RXN-13418	EC-1.14.14.5
RXN-2141	EC-3.2.1.20
RXNN-404	EC-3.5.1.4
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
DHBAMPLIG-RXN	EC-2.7.7.58
2PGADEHYDRAT-RXN	EC-4.2.1.11
GLUTDECARBOX-RXN	EC-4.1.1.15
RXN-12458	EC-2.1.1.228
RXN-13403	EC-2.1.1.107
1.13.11.25-RXN	EC-1.13.11.25
RXN-9952	EC-1.1.1.44
RXN0-5100	EC-5.99.1
GCVT-RXN	EC-2.1.2.10
RXN0-5262	
RXN1G-526	EC-1.3.1.9
RXN-12751	EC-3.1.2
RXN-7682	EC-1.17.1.4
DEOXYGLUCONOKIN-RXN	EC-2.7.1.45
AMACETOXID-RXN	EC-1.4.3.21
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-15740	EC-1.1.5.3
RXN-8001	EC-1.1.1.23
DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN	EC-3.1.1.6
KDOTRANS-RXN	EC-2.4.99.12
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
DCDPKIN-RXN	EC-2.7.4.6
RXN0-901	EC-1.17.1.4
PROTOPORGENOXI-RXN	EC-1.3.3.4
RXN-8992	EC-2.5.1.90
PMPOXI-RXN	EC-1.4.3.5
GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN	EC-2.3.2.4
RXN0-5462	EC-3.6.1.15
RXN-9556	EC-1.1.1.100
RXN-12352	EC-1.10.3.11
3.1.11.1-RXN	EC-3.1.11.1
RXN-10953	EC-3.1.3.25
RXN-9624	EC-3.1.2.2
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
RXN-10704	EC-4.2.1.17
FORMYL-COA-HYDROLASE-RXN	EC-3.1.2.10
RXN0-5515	EC-2.7.7.41
RXN-15043	EC-2.3.1.51
PYRIDOXKIN-RXN	EC-2.7.1.35
PSERTRANSAM-RXN	EC-2.6.1.52
RXN-11245	EC-1.1.1.35
CHOLOYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.24
RXN-8976	EC-2.4.1.227
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
RXN-12717	EC-1.14.14.12
UDPMANACATRANS-RXN	EC-2.4.1.180
RXN-11147	
RXN0-5116	EC-2.7.1.16
ACSERLY-RXN	EC-2.5.1.47
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.86
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN-14223	EC-2.7.1.15
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
RXN-13805	EC-2.3.1.15
RXN0-366	EC-3.2.2.1
RXN-10915	EC-1.1.1.1
2.7.7.60-RXN	EC-2.7.7.60
RXN1G-252	EC-1.1.1.100
XANTHINE-OXIDASE-RXN	EC-1.17.3.2
GLYCOLALD-DEHYDROG-RXN	EC-1.2.1.21
5.1.3.9-RXN	EC-5.1.3.9
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN0-4261	
GLUCDEHYDROG-RXN	EC-1.1.5.2
RXN0-5294	
RXN-7657	EC-1.1.1.1
RXN-12721	EC-1.8.4.9
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN0-2605	EC-3.1.11.5
5.3.1.17-RXN	EC-5.3.1.17
RXN-10060	EC-1.1.1.100
RXN-12088	EC-3.2.1.22
RXN0-723	EC-1.17.4.2
RXN-11902	EC-1.3.7.7
RXN0-2142	EC-1.1.1.100
RXN-11632	EC-1.5.1.12
AIRS-RXN	EC-6.3.3.1
RXN-12746	EC-6.2.1.3
RXN-11350	EC-2.4.1.129
NICOTINAMID-RXN	EC-3.5.1.19
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN-8975	EC-2.7.8.13
METHYLVALERATE-RXN	EC-1.2.4.4
3.2.1.17-RXN	EC-3.2.1.17
RXN0-1342	EC-2.4.99.17
MYRISTOYLACYLTRAN-RXN	EC-2.3.1
RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.22
RXN-6182	EC-5.3.1.9
RXN-13889	EC-3.1.1.6
3.4.21.87-RXN	EC-3.4.23.49
RXN-13313	EC-3.1.3.27
RXN0-884	EC-1.17.1.2
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN0-985	EC-1.14.11.33
RXN-14207	EC-2.7.1.40
RXN0-705	EC-4.1.1.85
PGLYCDEHYDROG-RXN	EC-1.1.1.95
DEOXYINOPHOSPHOR-RXN	EC-2.4.2.1
RXN1G-395	EC-1.3.1.9
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
RXN-12430	EC-3.1.1.32
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.17
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
RXN-12402	EC-3.2.1.177
RXN0-5248	
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-15511	
RXN-11151	EC-1.1.1.365
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
1.14.19.3-RXN	EC-1.14.19.3
ANTHRANSYN-RXN	EC-4.1.3.27
RXN66-521	EC-2.7.1.2	EC-2.7.1.1
RXN0-748	EC-1.17.4.1
PNKIN-RXN	EC-2.7.1.35
FLAVONADPREDUCT-RXN	EC-1.18.1.2
RXN-2043	EC-3.2.1.4
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
KETOGAL-DEHYDROXY-RXN	EC-1.1.1
3.4.23.43-RXN	EC-3.4.23.43
PROPIONATE-COA-TRANSFERASE-RXN	EC-2.8.3.1
RXN-11841	EC-5.4.99.27
PPENTOMUT-RXN	EC-5.4.2.7
RXN0-7024	EC-1.1.1
AMP-NUCLEOSID-RXN	EC-3.2.2.4
RXN-12754	
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
PUTTRANSAM-RXN	
RXN-14147	EC-2.6.1.57
SAMDECARB-RXN	EC-4.1.1.50
LACTOSE-DEHYDRO-RXN	EC-1.1.99.13
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
CARNDETRU-RXN	EC-4.2.1
RXN0-5126	EC-2.4.1.58
RXN0-4361	EC-3.1.3.82
3.2.1.23-RXN	EC-3.2.1.23
GLYCERONE-KINASE-RXN	EC-2.7.1.29
2.7.7.8-RXN	EC-2.7.7.8
RXN-10061	EC-2.3.1
RXN-10697	EC-4.2.1.17
RXN-9220	EC-2.1.1.163
RXN0-6372	
R11-RXN	EC-2.8.3.8
RXN-161	EC-1.1.1
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
RXN-12865	
RXN0-2023	
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
RXN-7694	EC-1.1.1.1
RXN-14118	EC-3.5.4.13
RXN66-480	EC-6.2.1.3
RXN-11743	EC-2.4.2.1
THREODEHYD-RXN	EC-1.1.1.103
OCTADECANAL-DECARBONYLASE-RXN	EC-4.1.99.5
1.1.1.39-RXN	EC-1.1.1.39
RXN-12398	EC-3.2.1.23
RXN-11351	EC-3.4.16.4
RXN-12609	EC-5.3.99.10
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8
RXN-12158	EC-1.1.1
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
RXN-2102	EC-3.1.1.11
1.5.1.34-RXN	EC-1.5.1.34
RXN-11715	EC-2.4.2.1
RXN-12643	EC-1.7.9
3.1.27.5-RXN	EC-3.1.27.5
RXN0-5204	EC-3.4.11.23
RXN-15509	
RXN-2961	EC-4.4.1.22
2OXOGLUTARATEDEH-RXN	
RXN-9516	EC-2.3.1.41
RXN-5341	EC-3.2.1.21
AKBLIG-RXN	EC-2.3.1.29
DAPASYN-RXN	EC-2.6.1.62
RXN0-5189	EC-3.2.2.20
RIBULPEPIM-RXN	EC-5.1.3.4
RXN0-1382	EC-2.8.3.16
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
MANNPDEHYDROG-RXN	EC-1.1.1.17
COBALAMINSYN-RXN	EC-2.7.8.26
RXN-14197	EC-3.5.4.1
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-10819	EC-6.2.1.30
RXN1G-1053	EC-1.1.1.100
RXN-11150	
ACYLACPSYNTH-RXN	EC-6.2.1.20
OLIGOGALACTURONIDE-LYASE-RXN	EC-4.2.2.6
RXN-9527	EC-2.3.1.41
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
ARYLSULFATE-SULFOTRANSFERASE-RXN	EC-2.8.2.22
RXN-13290	EC-6.2.1.3
PEPDEPHOS-RXN	EC-2.7.1.40
RXN0-5398	EC-4.2.1.70
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN-1823	EC-3.2.1.1
1.1.1.127-RXN	EC-1.1.1.127
RXN-14142	EC-3.1.3.5
THREDEHYD-RXN	EC-4.3.1.19
1.1.1.8-RXN	EC-1.1.1.8
SULFFEOXIDO-RXN	
RXN-14064	EC-3.1.4.16
RXN0-6490	
1.2.1.2-RXN	EC-1.2.1.2
RXN0-6513	EC-4.2.1.17
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
2.4.1.58-RXN	EC-2.4.1.58
DUDPKIN-RXN	EC-2.7.4.6
CARNCOARACE-RXN	EC-5
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
RXN-14113	EC-3.1.4.16
RXN-13614	EC-6.2.1.3
RXN-10911	EC-1.1.1.1
RXN-14228	EC-2.7.4.6
RXN1G-240	EC-1.1.1.100
SUCCARGDIHYDRO-RXN	EC-3.5.3.23
RXN-12400	EC-3.2.1.23
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
RXN0-5063	EC-2.8.1
RXN-15121	
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
1.2.4.4-RXN	EC-1.2.4.4
GSADENYLATION-RXN	EC-2.7.7.42
1.17.4.2-RXN	EC-1.17.4.2
RXN0-5259	
3.4.21.89-RXN	EC-3.4.21.89
NANK-RXN	EC-2.7.1.60
RXN-14362	EC-5.3.3
CARDIOLIPSYN-RXN	EC-2.7.8
RXN0-6523	EC-3.1.26.12
ASPARAGHYD-RXN	EC-3.5.1.1
RXN0-5181	EC-3.2.1.1
RXN-12610	EC-2.5.1.3
RXN-11153	
MALYL-COA-LYASE-RXN	EC-4.1.3.24
ADPREDUCT-RXN	EC-1.17.4.1
THIAZOLSYN3-RXN	EC-2.7.1.50
PROPCOASYN-RXN	EC-1.3.8
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59
PSERTRANSAMPYR-RXN	EC-2.6.1.52
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
